source_name,url,final_storage_name,ts_multiplier
gettyimages,http://media.gettyimages.com/videos/commuters-at-train-station-mumbai-india-video-id101015061,101015061.mp4,
gettyimages,http://media.gettyimages.com/videos/crowded-street-mumbai-india-video-id101015082,101015082.mp4,
gettyimages,http://media.gettyimages.com/videos/crowded-street-scene-mumbai-india-video-id101015113,101015113.mp4,
gettyimages,NOT_FOUND,101301401.mp4,
gettyimages,http://media.gettyimages.com/videos/crowded-beach-near-ahlbeck-ahlbeck-usedom-mecklenburgwestern-germany-video-id101561846,101561846.mp4,
gettyimages,http://media.gettyimages.com/videos/crowd-cheering-from-bleachers-video-id101585632,101585632.mp4,
gettyimages,http://media.gettyimages.com/videos/music-fans-passing-through-turnstile-giving-tickets-to-ticket-taker-video-id101585827,101585827.mp4,
gettyimages,http://media.gettyimages.com/videos/people-standing-at-train-station-provence-france-video-id101619218,101619218.mp4,
gettyimages,http://media.gettyimages.com/videos/crowd-cheering-from-bleachers-havana-cuba-video-id102063293,102063293.mp4,
gettyimages,http://media.gettyimages.com/videos/crowd-cheering-from-bleachers-havana-cuba-video-id102063295,102063295.mp4,
gettyimages,http://media.gettyimages.com/videos/sports-fans-leaving-game-havana-cuba-video-id102063296,102063296.mp4,
gettyimages,http://media.gettyimages.com/videos/people-walking-on-paseo-del-prado-havana-cuba-video-id102063338,102063338.mp4,
gettyimages,http://media.gettyimages.com/videos/crowd-of-people-on-sidewalk-havana-cuba-video-id102063342,102063342.mp4,
gettyimages,http://media.gettyimages.com/videos/commuters-walking-across-london-bridge-to-work-london-uk-video-id102268536,102268536.mp4,
gettyimages,http://media.gettyimages.com/videos/commuters-walking-across-london-bridge-to-work-london-uk-video-id102268537,102268537.mp4,
gettyimages,http://media.gettyimages.com/videos/commuters-walking-across-london-bridge-to-work-london-uk-video-id102268538,102268538.mp4,
gettyimages,http://media.gettyimages.com/videos/businessmen-fighting-with-feather-pillows-then-hugging-video-id102367357,102367357.mp4,"0,4"
gettyimages,http://media.gettyimages.com/videos/two-women-fighting-with-pugil-sticks-video-id102367361,102367361.mp4,"0,5"
gettyimages,http://media.gettyimages.com/videos/two-women-fighting-with-pugil-sticks-video-id102367363,102367363.mp4,"0,5"
gettyimages,http://media.gettyimages.com/videos/people-on-concourse-at-grand-central-station-video-id102367403,102367403.mp4,
gettyimages,http://media.gettyimages.com/videos/1980s-high-school-gymnasium-wrestling-match-crowd-and-cheerleaders-video-id102909414,102909414.mp4,
gettyimages,http://media.gettyimages.com/videos/1980s-crowd-of-spectators-in-balcony-video-id102909419,102909419.mp4,
gettyimages,http://media.gettyimages.com/videos/people-at-mamilla-avenue-in-city-center-of-jerusalem-jerusalem-israel-video-id103253412,103253412.mp4,
gettyimages,http://media.gettyimages.com/videos/crowd-running-of-the-bulls-encierro-festival-of-san-fermin-at-street-video-id103354098,103354098.mp4,
gettyimages,http://media.gettyimages.com/videos/crowds-in-plaza-de-consistorial-at-pobre-de-mi-closing-ceremony-of-video-id103354107,103354107.mp4,
gettyimages,http://media.gettyimages.com/videos/crowd-in-plaza-de-consistorial-at-pobre-de-mi-closing-ceremony-of-of-video-id103354109,103354109.mp4,
gettyimages,http://media.gettyimages.com/videos/marching-bands-and-parade-at-festival-of-san-fermin-pamplona-navarre-video-id103354130,103354130.mp4,
gettyimages,http://media.gettyimages.com/videos/traditional-folk-dancing-plaza-del-castillo-festival-of-san-fermin-video-id103354132,103354132.mp4,
