Video,Label
0_21_4_000455714.mp4,pedestrians
0_28_0_000593728.mp4,station
0_28_1_000593728.mp4,station
0_28_2_000593728.mp4,station
0_28_3_000593728.mp4,station
0_31_10_000714616.mp4,street_walk
0_47_0_000874210.mp4,crossing_street
0_47_3_000874266.mp4,"crossing_street,zebra_crossing"
0_56_0_001008406.mp4,mall
0_56_1_001008406.mp4,mall
0_56_2_001008406.mp4,mall
0_56_3_001008406.mp4,mall
0_56_4_001008406.mp4,mall
0_56_5_001008406.mp4,mall
0_61_2_001090502.mp4,alighting_from_train
0_66_0_001689509.mp4,mall
0_66_1_001689509.mp4,mall
0_66_2_001689509.mp4,mall
0_66_3_001689509.mp4,mall
0_120_4_007733903.mp4,"waiting_for_train,station"
0_120_5_007733903.mp4,"waiting_for_train,station"
0_132_5_008548749.mp4,"road_crossing,zebra_crossing"
0_149_1_008974218.mp4,walking_in_corridor
0_149_2_008974218.mp4,walking_in_corridor
0_150_2_008984640.mp4,clothes_purchase
0_150_3_008984640.mp4,clothes_purchase
0_150_7_008984653.mp4,clothes_purchase
0_156_3_009839590.mp4,station_entry
0_165_1_010740449.mp4,walking_on_footpath
0_199_4_011106690.mp4,road_crossing
0_199_6_011106690.mp4,"road_crossing,zebra_crossing"
0_199_8_011106690.mp4,"road_crossing,zebra_crossing"
0_204_3_011133610.mp4,"road_crossing,zebra_crossing"
0_208_0_011271149.mp4,"road_crossing,zebra_crossing"
0_208_1_011271149.mp4,"road_crossing,zebra_crossing"
0_208_2_011271149.mp4,"road_crossing,zebra_crossing"
0_208_3_011271149.mp4,"road_crossing,zebra_crossing"
0_224_0_011642845.mp4,mall
0_224_1_011642845.mp4,mall
0_224_2_011642845.mp4,mall
0_224_3_011642845.mp4,mall
0_235_1_012135048.mp4,"road-crossing,zebra_crossing"
0_235_17_012135640.mp4,walking_on_footpath
0_240_0_012331477.mp4,strolling
0_246_4_012415605.mp4,"road_crossing,zebra_crossing"
0_251_0_012427063.mp4,walking_on_street
0_289_1_020486150.mp4,"road_crossing,zebra_crossing"
0_289_2_020486150.mp4,"road_crossing,zebra_crossing"
0_289_3_020486150.mp4,"road_crossing,zebra_crossing"
0_289_10_020486546.mp4,"road_crossing,zebra_crossing"
0_290_4_020487694.mp4,"road_crossing,zebra_crossing"
0_292_0_020501779.mp4,"office_goers,rush_hour"
0_292_2_020501779.mp4,"office_goers,rush_hour"
0_310_3_021774465.mp4,station
0_310_4_021774465.mp4,station
0_328_3_022872430.mp4,mall
0_328_4_022872430.mp4,mall
0_344_0_024418883.mp4,station
0_344_1_024418883.mp4,station
0_344_2_024418883.mp4,station
0_345_0_024422612.mp4,waiting
0_345_1_024422612.mp4,waiting
0_345_2_024422612.mp4,waiting
0_352_2_024638798.mp4,strolling
0_352_3_024638798.mp4,strolling
0_352_4_024638798.mp4,strolling
0_356_0_024789591.mp4,strolling
0_357_0_024814837.mp4,strolling
0_358_0_024834645.mp4,"waiting,station"
0_359_1_024837606.mp4,strolling
0_359_2_024837606.mp4,strolling
0_359_3_024837606.mp4,strolling
0_361_0_024852657.mp4,strolling
0_388_0_026529400.mp4,"beach,swimming"
0_406_3_032262608.mp4,"road_crossing,zebra_crossing"
0_406_4_032262608.mp4,"road_crossing,rain"
0_407_0_032328194.mp4,waiting
0_407_1_032328194.mp4,waiting
0_407_2_032328194.mp4,waiting
0_408_0_032329331.mp4,waiting
0_414_0_032898163.mp4,busy_street
0_414_4_032898518.mp4,station
0_416_0_033444122.mp4,walking_on_street
0_416_1_033444122.mp4,walking_on_street
0_418_0_033580916.mp4,"road_crossing,zebra_crossing"
0_418_1_033580916.mp4,"road_crossing,zebra_crossing"
0_418_12_033580962.mp4,road_crossing
0_425_0_034000834.mp4,shopping
0_425_2_034000834.mp4,"walking_on_street,shopping"
0_430_0_034650909.mp4,strolling
0_430_1_034650909.mp4,strolling
0_444_0_035848377.mp4,waiting_at_station
0_445_0_035849840.mp4,station
0_445_1_035849840.mp4,station
0_445_2_035849840.mp4,station
0_447_0_035958325.mp4,"street_shopping,market"
0_450_2_036071461.mp4,waiting_in_queue
0_458_1_036548549.mp4,airport
0_458_2_036548549.mp4,station
0_458_3_036548549.mp4,station
0_458_4_036548813.mp4,station
0_461_0_037184415.mp4,rush_hour
0_472_1_038640713.mp4,waiting
0_513_0_040467941.mp4,station
0_514_0_040468112.mp4,"travellers,station"
0_518_1_040703313.mp4,strolling
0_525_0_041679622.mp4,"strolling,wandering"
0_527_1_041698570.mp4,tavellers
0_551_0_043877239.mp4,"commuters,wating"
0_562_0_044658123.mp4,road_crossing
0_562_2_044658123.mp4,"road_crossing,zebra_crossing"
0_571_0_045379694.mp4,road_crossing
0_573_1_045409647.mp4,"road_crossing,zebra_crossing"
0_573_5_045409647.mp4,"road_crossing,zebra_crossing"
0_574_0_045591659.mp4,"travellers,airport"
0_574_1_045591659.mp4,"travellers,airport"
0_586_0_046107014.mp4,"rush_hour,office_goers"
0_586_3_046107014.mp4,"rush_hour,office_goers"
0_589_0_046260385.mp4,"subway,station"
0_592_3_046705858.mp4,"strolling,street"
0_594_0_046763803.mp4,station
0_594_1_046763803.mp4,"travellers,station"
0_594_2_046763803.mp4,"travellers,station"
0_608_3_048423855.mp4,travellers
0_610_0_048772025.mp4,"waiting,station"
0_614_1_048786594.mp4,"travellers,station"
0_615_1_048839366.mp4,"cargo,station"
0_618_0_049291298.mp4,travellers
0_622_0_049659963.mp4,travellers
0_622_1_049659963.mp4,travellers
0_622_3_049659963.mp4,"travellers,waiting"
0_628_0_049863475.mp4,travellers
0_628_1_049863757.mp4,travellers
0_634_6_050414364.mp4,strolling
0_634_7_050414364.mp4,strolling
0_642_0_050780300.mp4,"strolling,street"
0_642_1_050780300.mp4,"strolling,street"
0_642_2_050780300.mp4,"strolling,street"
0_654_0_051482899.mp4,shopping
0_658_2_051807499.mp4,"road_crossing,zebra_crossing"
0_659_0_051824513.mp4,"travellers,station"
0_659_1_051824513.mp4,"travellers,station"
0_659_2_051824513.mp4,"travellers,station"
0_659_3_051824513.mp4,"travellers,station"
0_659_5_051824528.mp4,"travellers,station"
0_665_11_052238473.mp4,strolling
0_665_12_052238473.mp4,strolling
0_668_5_052299921.mp4,"road_crossing,zebra_crossing"
0_668_6_052299921.mp4,"road_crossing,zebra_crossng"
0_679_4_053350080.mp4,"shopping,escalator"
0_679_5_053350080.mp4,"shopping,escalator"
0_679_6_053350080.mp4,"shopping,escalator"
0_679_7_053350080.mp4,"shopping,escalator"
0_702_2_055027863.mp4,pedestrian
0_703_2_055261804.mp4,"road_crossing,zebra_crossing"
0_703_3_055261804.mp4,"road_crossing,zebra_crossing"
0_703_5_055261804.mp4,"road_crossing,zebra_crossing"
0_705_0_055271257.mp4,road_crossing
0_706_1_055283268.mp4,"road_crossing,zebra_crossing"
0_712_0_055675792.mp4,strolling
0_712_1_055675792.mp4,"waiting,travellers"
0_712_2_055675792.mp4,"travellers,waiting"
0_714_0_055889521.mp4,"road_crossing,zebra_crossing"
0_719_3_056298157.mp4,"road_crossing,zebra_crossing"
0_719_8_056298493.mp4,strolling
0_719_9_056298493.mp4,pedestrian
0_722_5_056422133.mp4,"road_crossing,zebra_crossing"
0_724_0_056429758.mp4,"road_crossing,zebra_crossing"
0_730_1_056725250.mp4,"shopping,pedestrian"
0_731_2_056804059.mp4,boarding_deboarding_train
0_742_0_057528798.mp4,office_goers
0_742_1_057528798.mp4,"escalator,station"
0_742_2_057528798.mp4,office_goers
0_746_5_057789981.mp4,office_goers
0_746_6_057789981.mp4,"travellers,station"
0_746_7_057789981.mp4,office_goers
0_746_8_057789981.mp4,travellers
0_746_9_057789981.mp4,"travellers,station"
0_746_10_057789981.mp4,"travellers,station"
0_747_0_058108941.mp4,"travellers,waiting"
0_751_0_058588083.mp4,"travellers,station,escalator"
0_752_0_058715418.mp4,"travellers,waiting"
0_763_0_059911574.mp4,strolling
0_763_1_059911574.mp4,"travellers,station"
0_770_3_060232282.mp4,"road_crossing,zebra_crossing"
0_784_0_060856959.mp4,"travellers,station"
0_784_1_060856959.mp4,"travellers,station"
0_795_0_061677803.mp4,"travellers,station"
0_811_0_062261879.mp4,"road_crossing,zebra_crossing"
0_817_4_062413895.mp4,pedestrian
0_818_6_062451626.mp4,travellers
0_838_0_101561846.mp4,walking_on_beach
0_841_3_102063296.mp4,vacating_stadium
0_841_4_102063338.mp4,strolling
0_843_4_102367403.mp4,"travellers,station"
0_843_5_102367403.mp4,"travellers,station"
0_850_1_103629784.mp4,playing_beach_volleyball
0_867_0_127470561.mp4,"commuters,office_goers"
0_867_1_127470561.mp4,commuters
0_871_2_129933573.mp4,"road_crossing,zebra_crossing"
0_873_1_131179113.mp4,"travellers,waiting,station"
0_899_0_146371995.mp4,"road_crossing,zebra_crossing"
0_907_0_151379241.mp4,travellers
0_909_2_152460160.mp4,"rush_hour,commuters"
0_935_2_167711980.mp4,cowboys_gathering
0_936_0_168607990.mp4,street_crowd
0_937_0_169576931.mp4,road_crossing
0_939_0_172590780.mp4,strolling
0_943_0_173796900.mp4,"travellers,station"
0_943_1_173796900.mp4,"travellers,station"
0_943_2_173796900.mp4,"travellers,station"
0_943_3_173796909.mp4,travellers
0_943_4_173796909.mp4,travellers
0_943_5_173796922.mp4,"travellers,station"
0_943_6_173796922.mp4,"travellers,station"
0_943_7_173796922.mp4,"travellers,station"
0_943_8_173796922.mp4,"travellers,station"
0_943_9_173796922.mp4,travellers
0_943_10_173796922.mp4,travellers
0_943_11_173796922.mp4,"travellers,station"
0_943_12_173796922.mp4,"travellers,station"
0_943_13_173796929.mp4,"travellers,station"
0_943_14_173796929.mp4,"travellers,station"
0_943_16_173796934.mp4,strolling
0_943_17_173796936.mp4,commuters
0_943_18_173796936.mp4,"travellers,commuters"
0_943_19_173796936.mp4,strolling
0_943_20_173796942.mp4,"commuters,station"
0_943_21_173796946.mp4,travellers
0_943_24_173796946.mp4,"travellers,station"
0_943_27_173796958.mp4,"travellers,station"
0_943_28_173796967.mp4,"travellers,station"
0_943_29_173796967.mp4,"travellers,station"
0_943_30_173796967.mp4,"travellers,station"
0_943_31_173796967.mp4,"travellers,station"
0_943_32_173796967.mp4,"travellers,station"
0_943_33_173796967.mp4,"travellers,station"
0_943_34_173796967.mp4,"travellers,station"
0_943_35_173796967.mp4,"travellers,station"
0_943_36_173796967.mp4,"travellers,station"
0_943_37_173796967.mp4,"travellers,station"
0_943_39_173796975.mp4,travellers
0_943_40_173796975.mp4,travellers
0_943_41_173796981.mp4,"travellers,station"
0_943_42_173796981.mp4,"travellers,station"
0_943_43_173796981.mp4,"travellers,station"
0_943_44_173796981.mp4,"travellers,station"
0_943_45_173796986.mp4,travellers
0_943_46_173796986.mp4,travellers
0_943_47_173796986.mp4,travellers
0_943_48_173796986.mp4,travellers
0_943_50_173796988.mp4,travellers
0_943_51_173796988.mp4,strolling
0_943_53_173796992.mp4,commuters
0_944_1_173797011.mp4,travellers
0_944_3_173797013.mp4,"travellers,waiting"
0_944_4_173797013.mp4,"travellers,waiting"
0_944_5_173797013.mp4,"travellers,waiting"
0_945_0_173798018.mp4,commuters
0_945_1_173798029.mp4,commuters
10_6_2_000146725.mp4,no_crowd
10_8_1_000278401.mp4,no_crowd
10_16_0_000367242.mp4,no_crowd
10_16_5_000367242.mp4,no_crowd
10_25_0_000560477.mp4,no_crowd
10_33_0_000729282.mp4,no_crowd
10_36_0_000747102.mp4,no_crowd
10_48_1_000879426.mp4,no_crowd
10_55_2_001005037.mp4,no_crowd
10_56_6_001008406.mp4,no_crowd
10_56_7_001008406.mp4,no_crowd
10_65_9_001391796.mp4,no_crowd
10_68_0_002363790.mp4,no_crowd
10_72_2_002974912.mp4,no_crowd
10_74_1_003582951.mp4,no_crowd
10_92_1_004367106.mp4,marathon
10_92_3_004367106.mp4,no_crowd
10_92_4_004367106.mp4,marathon
10_107_2_006531492.mp4,no_crowd
10_114_2_007131391.mp4,no_crowd
10_115_0_007132344.mp4,no_crowd
10_115_1_007132344.mp4,no_crowd
10_119_0_007729446.mp4,no_crowd
10_120_2_007733897.mp4,no_crowd
10_123_0_007750298.mp4,no_crowd
10_123_1_007750298.mp4,no_crowd
10_124_3_007753479.mp4,no_crowd
10_130_0_008522825.mp4,no_crowd
10_131_0_008526851.mp4,no_crowd
10_131_1_008526851.mp4,no_crowd
10_131_2_008526851.mp4,no_crowd
10_131_3_008526851.mp4,no_crowd
10_133_1_008567541.mp4,no_crowd
10_151_0_008987505.mp4,no_crowd
10_159_4_010335488.mp4,no_crowd
10_165_0_010740449.mp4,no_crowd
10_165_3_010740449.mp4,no_crowd
10_165_4_010740449.mp4,no_crowd
10_173_0_010806793.mp4,no_crowd
10_174_2_010808975.mp4,no_crowd
10_1815_0_054992450.mp4,no_crowd
10_1815_1_054992450.mp4,no_crowd
0_945_4_173798033.mp4,commuters
0_945_6_173798037.mp4,standing_in_queue
0_946_0_174463236.mp4,strolling
0_946_1_174463237.mp4,strolling
0_947_0_175585267.mp4,pedestrian
0_949_5_176746789.mp4,commuters
0_950_4_178361354.mp4,"tavellers,airport"
0_957_1_181543771.mp4,commuters
0_967_0_187189866.mp4,"road-crossing,zebra_crossing"
0_1024_0_450064868.mp4,"office_goers,rush_hour"
0_1031_18_452607715.mp4,"road-crossing,zebra_crossing"
0_1042_0_456539918.mp4,"travellers,station"
0_1049_1_458240928.mp4,"travellers,station"
